err_bits 	 1 	 error_rate 	 0.000000 
err_bits 	 2 	 error_rate 	 0.049400 
err_bits 	 4 	 error_rate 	 0.261480 
err_bits 	 5 	 error_rate 	 0.389180 
err_bits 	 3 	 error_rate 	 0.141640 
err_bits 	 1 	 error_rate 	 0.000000 
err_bits 	 1 	 error_rate 	 0.000000 
err_bits 	 2 	 error_rate 	 0.049720 
err_bits 	 2 	 error_rate 	 0.046800 
err_bits 	 3 	 error_rate 	 0.138980 
err_bits 	 3 	 error_rate 	 0.141720 
err_bits 	 4 	 error_rate 	 0.258780 
err_bits 	 4 	 error_rate 	 0.264400 
err_bits 	 5 	 error_rate 	 0.389960 
err_bits 	 5 	 error_rate 	 0.389420 
err_bits 	 6 	 error_rate 	 0.518060 
err_bits 	 6 	 error_rate 	 0.521000 
err_bits 	 6 	 error_rate 	 0.520840 
err_bits 	 7 	 error_rate 	 0.638740 
err_bits 	 7 	 error_rate 	 0.638400 
err_bits 	 7 	 error_rate 	 0.638700 
err_bits 	 10 	 error_rate 	 0.761460 
err_bits 	 15 	 error_rate 	 0.956140 
err_bits 	 15 	 error_rate 	 0.956660 
err_bits 	 20 	 error_rate 	 0.995200 
err_bits 	 25 	 error_rate 	 0.999540 
err_bits 	 30 	 error_rate 	 0.999940 
err_bits 	 35 	 error_rate 	 1.000000 
err_bits 	 40 	 error_rate 	 1.000000 
err_bits 	 45 	 error_rate 	 1.000000 
